Id,Label,Cat
Math and Computer Science,Math and Computer Science,discipline
Computer Science,Computer Science,discipline
Project-Based Inquiry Science,Project-Based Inquiry Science,discipline
UP. Graduate School of Education,UP. Graduate School of Education,discipline
Biology,Biology,discipline
Education,Education,discipline
Science,Science,discipline
Technology Education,Technology Education,discipline
Science Education,Science Education,discipline
Education,Education,discipline
Science Education,Science Education,discipline
Learning Sciences,Learning Sciences,discipline
omputer Engineering,omputer Engineering,discipline
Comparative History,Comparative History,discipline
Learning Sciences,Learning Sciences,discipline
Mathematics Education,Mathematics Education,discipline
Performing Arts,Performing Arts,discipline
Cognitive Psychology,Cognitive Psychology,discipline
Learning Sciences,Learning Sciences,discipline
Higher Education,Higher Education,discipline
Educational Technology,Educational Technology,discipline
Teaching Methods,Teaching Methods,discipline
Chemistry,Chemistry,discipline
Learning Sciences,Learning Sciences,discipline
Media Arts and Sciences,Media Arts and Sciences,discipline
Communication Sciences,Communication Sciences,discipline
Educational Technology,Educational Technology,discipline
Psychology,Psychology,discipline
Education,Education,discipline
Psychology,Psychology,discipline
Child Development,Child Development,discipline
Learning in Informal Settings,Learning in Informal Settings,discipline
Educational Technology,Educational Technology,discipline
Education Psychology,Education Psychology,discipline
Learning Sciences,Learning Sciences,discipline
Learning Sciences,Learning Sciences,discipline
Computer Science,Computer Science,discipline
Education,Education,discipline
Learning Sciences,Learning Sciences,discipline
Education,Education,discipline
Cognitive Science,Cognitive Science,discipline
Education,Education,discipline
Learning sciences,Learning sciences,discipline
Mathematics Education,Mathematics Education,discipline
Education Psychology,Education Psychology,discipline
Learing Sciences,Learing Sciences,discipline
Educational policy,Educational policy,discipline
Comparative Education,Comparative Education,discipline
Educational Science,Educational Science,discipline
Learning Sciences,Learning Sciences,discipline
Literature,Literature,discipline
Cognitive Science,Cognitive Science,discipline
Psychology,Psychology,discipline
Learning Sciences,Learning Sciences,discipline
Information and Education,Information and Education,discipline
Psychology,Psychology,discipline
Literature,Literature,discipline
Educational Psychology,Educational Psychology,discipline
Learning Sciences,Learning Sciences,discipline
Computer Science,Computer Science,discipline
Education,Education,discipline
Computer  Science and Technology,Computer  Science and Technology,discipline
Psychology,Psychology,discipline
Computer Science,Computer Science,discipline
Education,Education,discipline
Cognitive Psychology,Cognitive Psychology,discipline
Psychology,Psychology,discipline
Education,Education,discipline
Educational Technology,Educational Technology,discipline
Computer Science,Computer Science,discipline
Science Education,Science Education,discipline
Education,Education,discipline
Learning Sciences,Learning Sciences,discipline
Learning Sciences,Learning Sciences,discipline
Human Development,Human Development,discipline
Psychology,Psychology,discipline
Education,Education,discipline
Interactive Technology,Interactive Technology,discipline
Maths Education,Maths Education,discipline
Learning Sciences,Learning Sciences,discipline
Literature,Literature,discipline
Learning Sciences,Learning Sciences,discipline
Biology,Biology,discipline
Computer Science and Engineering,Computer Science and Engineering,discipline
Education,Education,discipline
Computer  Science and Technology,Computer  Science and Technology,discipline
Pychology,Pychology,discipline
Learing Sciences,Learing Sciences,discipline
Science Communication,Science Communication,discipline
Computer Science,Computer Science,discipline
Educational Psychology,Educational Psychology,discipline
Learing Sciences,Learing Sciences,discipline
Educational Technology,Educational Technology,discipline
Philosophy and Anthropology,Philosophy and Anthropology,discipline
Computers and Education,Computers and Education,discipline
Human Cognition and Learning,Human Cognition and Learning,discipline
Education,Education,discipline
Mathematics,Mathematics,discipline
Educational Technology,Educational Technology,discipline
Science Education,Science Education,discipline
Janet L. Kolodner,Janet L. Kolodner,Acadmic
Bruce Sherin  ,Bruce Sherin  ,Acadmic
Robb Lindgren,Robb Lindgren,Acadmic
Susan A. Yoon,Susan A. Yoon,Acadmic
Joanne Lobato  ,Joanne Lobato  ,Acadmic
Joseph L. Polman  ,Joseph L. Polman  ,Acadmic
Chris Quintana  ,Chris Quintana  ,Acadmic
Nikol Rummel  ,Nikol Rummel  ,Acadmic
Jan van Aalst,Jan van Aalst,Acadmic
Nikol Rummel  ,Nikol Rummel  ,Acadmic
William Sandoval  ,William Sandoval  ,Acadmic
Iris Tabak,Iris Tabak,Acadmic
Tammy Schellens  ,Tammy Schellens  ,Acadmic
Josh Radinsky,Josh Radinsky,Acadmic
Daniel L. Schwartz,Daniel L. Schwartz,Acadmic
Dor Abrahamson,Dor Abrahamson,Acadmic
Anna Sfard  ,Anna Sfard  ,Acadmic
Kimberly Gomez  ,Kimberly Gomez  ,Acadmic
